type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2020-12-15 19:00:46,43.34890519,5.30121007,4,71.250,,4.580,213,19,36,20201215-200046,GPS Logger: 20201215-200046
T,2020-12-15 19:00:47,43.34886438,5.30118413,4,72.506,,4.520,214,19,36,,
T,2020-12-15 19:00:48,43.34882403,5.30115464,4,73.765,,4.850,219,19,36,,
T,2020-12-15 19:00:49,43.34879235,5.30111577,4,73.337,,4.450,211,18,36,,
T,2020-12-15 19:00:50,43.34875937,5.30108319,4,71.931,,4.850,216,18,36,,
T,2020-12-15 19:00:51,43.34872907,5.30102921,4,70.382,,5.120,220,18,36,,
T,2020-12-15 19:00:52,43.34869553,5.30099636,4,70.176,,4.550,213,18,36,,
T,2020-12-15 19:00:53,43.34865746,5.30095919,4,70.120,,4.700,212,18,36,,
T,2020-12-15 19:00:54,43.34862233,5.30093365,4,70.244,,4.580,213,19,36,,
T,2020-12-15 19:00:55,43.34858495,5.30089900,4,70.141,,4.750,211,20,36,,
T,2020-12-15 19:00:56,43.34854942,5.30087087,4,70.258,,4.860,214,20,36,,
T,2020-12-15 19:00:57,43.34851106,5.30084079,4,70.079,,4.710,212,20,36,,
T,2020-12-15 19:00:58,43.34847704,5.30080989,4,70.757,,4.660,208,16,28,,
T,2020-12-15 19:00:59,43.34843503,5.30076176,4,70.132,,4.650,213,16,28,,
T,2020-12-15 19:01:00,43.34839527,5.30073767,4,69.980,,4.940,210,17,27,,
T,2020-12-15 19:01:01,43.34835301,5.30071348,5,70.171,,4.450,199,15,26,,
T,2020-12-15 19:01:02,43.34831650,5.30069745,5,70.600,,4.510,203,15,26,,
T,2020-12-15 19:01:03,43.34827854,5.30067149,5,70.517,,4.780,208,17,29,,
T,2020-12-15 19:01:04,43.34823789,5.30064511,6,69.928,,4.830,203,16,27,,
T,2020-12-15 19:01:05,43.34818813,5.30059800,6,69.038,,5.000,213,15,27,,
T,2020-12-15 19:01:06,43.34814877,5.30056958,7,69.557,,5.180,211,14,25,,
T,2020-12-15 19:01:07,43.34810679,5.30054256,7,69.926,,4.360,206,15,28,,
T,2020-12-15 19:01:08,43.34806841,5.30051186,6,70.063,,5.080,208,15,27,,
T,2020-12-15 19:01:09,43.34802371,5.30048436,6,70.019,,4.910,210,16,28,,
T,2020-12-15 19:01:10,43.34798594,5.30045458,7,70.645,,4.970,207,17,28,,
T,2020-12-15 19:01:11,43.34794764,5.30042977,7,71.108,,4.780,206,16,27,,
T,2020-12-15 19:01:12,43.34791031,5.30039205,8,70.383,,4.830,208,14,26,,
T,2020-12-15 19:01:13,43.34786978,5.30035166,8,70.631,,5.110,208,15,27,,
T,2020-12-15 19:01:14,43.34782927,5.30030825,9,69.950,,5.050,211,17,29,,
T,2020-12-15 19:01:15,43.34779581,5.30027980,9,70.455,,5.180,208,14,26,,
T,2020-12-15 19:01:16,43.34775696,5.30027306,9,70.730,,4.870,204,16,28,,
T,2020-12-15 19:01:17,43.34771021,5.30024766,9,70.703,,5.150,205,16,28,,
T,2020-12-15 19:01:18,43.34766731,5.30021768,8,70.843,,5.090,208,16,29,,
T,2020-12-15 19:01:19,43.34762665,5.30020405,9,71.505,,4.870,204,15,29,,
T,2020-12-15 19:01:20,43.34758654,5.30012313,10,70.361,,5.160,209,12,25,,
T,2020-12-15 19:01:21,43.34754577,5.30009867,9,70.212,,5.210,206,16,28,,
T,2020-12-15 19:01:22,43.34750148,5.30008296,9,70.407,,5.010,205,17,28,,
T,2020-12-15 19:01:23,43.34746409,5.30004468,10,69.007,,5.060,207,14,27,,
T,2020-12-15 19:01:24,43.34742708,5.30005421,10,69.366,,4.990,202,15,28,,
T,2020-12-15 19:01:25,43.34737309,5.30006196,9,73.063,,5.030,207,15,27,,
T,2020-12-15 19:01:26,43.34733255,5.30003533,8,73.397,,5.220,208,15,28,,
T,2020-12-15 19:01:27,43.34729707,5.29999209,9,73.605,,4.960,204,15,28,,
T,2020-12-15 19:01:28,43.34725817,5.29992416,10,72.049,,5.170,208,14,27,,
T,2020-12-15 19:01:29,43.34721904,5.29984757,10,69.677,,5.580,213,14,28,,
T,2020-12-15 19:01:30,43.34718317,5.29978504,11,67.301,,5.340,209,14,27,,
T,2020-12-15 19:01:31,43.34713673,5.29978678,7,69.860,,5.280,205,15,28,,
T,2020-12-15 19:01:32,43.34709450,5.29976608,7,70.514,,5.200,202,15,26,,
T,2020-12-15 19:01:33,43.34704337,5.29974080,7,71.915,,5.280,203,16,27,,
T,2020-12-15 19:01:34,43.34700291,5.29971177,8,72.015,,5.280,203,18,29,,
T,2020-12-15 19:01:35,43.34696312,5.29968637,8,72.119,,4.980,205,13,25,,
T,2020-12-15 19:01:36,43.34692892,5.29964382,8,70.756,,5.060,203,16,28,,
T,2020-12-15 19:01:37,43.34688867,5.29961750,8,70.871,,5.330,204,15,26,,
T,2020-12-15 19:01:38,43.34685531,5.29958230,8,69.700,,5.240,205,15,27,,
T,2020-12-15 19:01:39,43.34681518,5.29954915,8,67.806,,5.560,205,14,27,,
T,2020-12-15 19:01:40,43.34676307,5.29950976,8,67.367,,5.460,205,15,28,,
T,2020-12-15 19:01:41,43.34672145,5.29948689,8,67.568,,5.560,205,12,26,,
T,2020-12-15 19:01:42,43.34667951,5.29946731,12,67.464,,5.300,204,14,28,,
T,2020-12-15 19:01:43,43.34662151,5.29944340,12,66.651,,5.610,204,15,29,,
T,2020-12-15 19:01:44,43.34658563,5.29940926,8,66.170,,5.440,205,14,27,,
T,2020-12-15 19:01:45,43.34654052,5.29936773,9,64.566,,5.570,205,15,27,,
T,2020-12-15 19:01:46,43.34649595,5.29934585,9,65.126,,5.550,205,15,27,,
T,2020-12-15 19:01:47,43.34644668,5.29932175,9,64.248,,5.730,205,12,25,,
T,2020-12-15 19:01:48,43.34639096,5.29925673,10,64.397,,5.960,207,16,29,,
T,2020-12-15 19:01:49,43.34634657,5.29923388,10,65.266,,5.510,206,12,25,,
T,2020-12-15 19:01:50,43.34628980,5.29916725,10,63.480,,5.780,205,14,29,,
T,2020-12-15 19:01:51,43.34624283,5.29911892,11,62.378,,5.610,203,12,27,,
T,2020-12-15 19:01:52,43.34620181,5.29909468,11,61.570,,5.360,201,15,29,,
T,2020-12-15 19:01:53,43.34615288,5.29906260,11,61.651,,5.970,206,13,26,,
T,2020-12-15 19:01:54,43.34610915,5.29903451,12,62.479,,5.690,206,14,27,,
T,2020-12-15 19:01:55,43.34606260,5.29901837,12,61.645,,5.720,206,15,26,,
T,2020-12-15 19:01:56,43.34602078,5.29899406,12,60.981,,5.570,203,14,27,,
T,2020-12-15 19:01:57,43.34598373,5.29895895,11,60.387,,5.620,204,15,27,,
T,2020-12-15 19:01:58,43.34594437,5.29893827,11,60.579,,5.520,203,17,29,,
