type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-01-16 10:19:41,43.57561801,3.95695319,4,48.749,,0.000,,20,25,20210116-111941,GPS Logger: 20210116-111941
T,2021-01-16 10:19:42,43.57562425,3.95696503,4,47.779,,1.330,40,20,25,,
T,2021-01-16 10:19:43,43.57562744,3.95697233,4,50.176,,0.540,32,20,25,,
T,2021-01-16 10:19:44,43.57560109,3.95695101,4,49.710,,0.630,205,20,25,,
T,2021-01-16 10:19:45,43.57559666,3.95695136,4,49.708,,0.000,,20,25,,
T,2021-01-16 10:19:46,43.57559549,3.95695759,4,49.953,,0.000,,20,25,,
T,2021-01-16 10:19:47,43.57559444,3.95696018,4,50.162,,0.000,,18,19,,
T,2021-01-16 10:19:48,43.57559346,3.95695885,4,50.185,,0.000,,16,28,,
T,2021-01-16 10:19:49,43.57558581,3.95695661,4,51.308,,0.000,,16,27,,
T,2021-01-16 10:19:50,43.57558842,3.95695320,4,50.205,,0.000,,16,29,,
T,2021-01-16 10:19:51,43.57558770,3.95694940,4,50.280,,0.000,,17,30,,
T,2021-01-16 10:19:52,43.57558963,3.95694761,4,49.948,,0.000,,15,28,,
T,2021-01-16 10:19:53,43.57559003,3.95694690,4,50.132,,0.000,,15,29,,
T,2021-01-16 10:19:54,43.57559259,3.95694787,4,49.603,,0.000,,15,30,,
T,2021-01-16 10:19:55,43.57559156,3.95694619,4,48.806,,0.000,,12,27,,
T,2021-01-16 10:19:56,43.57559176,3.95694714,4,47.998,,0.000,,12,27,,
T,2021-01-16 10:19:57,43.57559203,3.95694649,4,48.180,,0.000,,14,29,,
T,2021-01-16 10:19:58,43.57559282,3.95694510,4,48.242,,0.000,,15,30,,
T,2021-01-16 10:19:59,43.57559339,3.95694426,4,48.241,,0.000,,13,27,,
T,2021-01-16 10:20:00,43.57559376,3.95694350,5,48.218,,0.000,,14,29,,
T,2021-01-16 10:20:01,43.57559393,3.95694369,5,48.445,,0.000,,13,29,,
T,2021-01-16 10:20:02,43.57559390,3.95694375,5,48.439,,0.000,,13,29,,
T,2021-01-16 10:20:03,43.57559393,3.95694377,5,48.443,,0.000,,13,30,,
T,2021-01-16 10:20:04,43.57559390,3.95694387,5,48.463,,0.000,,12,30,,
T,2021-01-16 10:20:05,43.57559394,3.95694389,5,48.461,,0.000,,12,30,,
T,2021-01-16 10:20:06,43.57559392,3.95694397,5,48.472,,0.000,,12,29,,
T,2021-01-16 10:20:07,43.57559396,3.95694401,6,48.481,,0.000,,12,30,,
T,2021-01-16 10:20:08,43.57559396,3.95694402,6,48.483,,0.000,,11,28,,
T,2021-01-16 10:20:09,43.57559394,3.95694400,6,48.477,,0.000,,11,28,,
T,2021-01-16 10:20:10,43.57559393,3.95694402,6,48.475,,0.000,,10,27,,
T,2021-01-16 10:20:11,43.57559391,3.95694440,7,48.377,,0.000,,9,29,,
T,2021-01-16 10:20:12,43.57559390,3.95694452,7,48.372,,0.000,,9,26,,
T,2021-01-16 10:20:13,43.57559394,3.95694439,6,48.436,,0.000,,11,30,,
T,2021-01-16 10:20:14,43.57559392,3.95694443,6,48.464,,0.000,,12,28,,
T,2021-01-16 10:20:15,43.57559395,3.95694446,6,48.458,,0.000,,11,27,,
T,2021-01-16 10:20:16,43.57559396,3.95694446,5,48.456,,0.000,,14,30,,
T,2021-01-16 10:20:17,43.57559392,3.95694452,5,48.466,,0.000,,12,28,,
