type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-01-10 08:15:33,43.57589784,3.95758459,4,51.281,,0.000,,25,28,20210110-091533,GPS Logger: 20210110-091533
T,2021-01-10 08:15:34,43.57590147,3.95758998,4,52.504,,0.000,,25,28,,
T,2021-01-10 08:15:35,43.57589683,3.95758904,4,51.867,,0.000,,25,28,,
T,2021-01-10 08:15:36,43.57590048,3.95758951,4,52.595,,0.000,,25,28,,
T,2021-01-10 08:15:37,43.57590349,3.95759025,4,52.313,,0.000,,25,28,,
T,2021-01-10 08:15:38,43.57590292,3.95759104,4,52.203,,0.000,,24,28,,
T,2021-01-10 08:15:39,43.57590274,3.95758585,4,51.502,,0.000,,24,28,,
T,2021-01-10 08:15:40,43.57591124,3.95758014,4,51.267,,0.000,,25,28,,
T,2021-01-10 08:15:41,43.57591801,3.95757959,4,50.896,,0.000,,25,28,,
T,2021-01-10 08:15:42,43.57592308,3.95758070,4,50.306,,0.000,,25,28,,
T,2021-01-10 08:15:43,43.57592708,3.95757991,4,49.987,,0.000,,25,28,,
T,2021-01-10 08:15:44,43.57592311,3.95757692,4,48.701,,0.000,,21,30,,
T,2021-01-10 08:15:45,43.57592564,3.95757418,4,48.082,,0.000,,18,22,,
T,2021-01-10 08:15:46,43.57592635,3.95757605,4,48.091,,0.000,,22,30,,
T,2021-01-10 08:15:47,43.57593552,3.95757106,4,48.315,,0.000,,22,30,,
T,2021-01-10 08:15:48,43.57593704,3.95757224,4,48.264,,0.000,,16,20,,
T,2021-01-10 08:15:49,43.57593742,3.95757277,4,48.473,,0.000,,23,27,,
T,2021-01-10 08:15:50,43.57593963,3.95757290,4,48.853,,0.000,,19,26,,
T,2021-01-10 08:15:51,43.57594203,3.95757297,4,49.202,,0.000,,22,29,,
T,2021-01-10 08:15:52,43.57594117,3.95757124,4,49.284,,0.000,,22,28,,
T,2021-01-10 08:15:53,43.57594498,3.95756905,4,49.304,,0.000,,22,29,,
T,2021-01-10 08:15:54,43.57594556,3.95756884,4,49.255,,0.000,,20,26,,
T,2021-01-10 08:15:55,43.57594724,3.95756894,4,49.382,,0.000,,20,27,,
T,2021-01-10 08:15:56,43.57594938,3.95756776,4,49.448,,0.000,,20,25,,
T,2021-01-10 08:15:57,43.57595119,3.95757385,4,48.599,,0.400,70,22,29,,
T,2021-01-10 08:15:58,43.57595820,3.95758097,4,48.918,,0.000,,20,27,,
T,2021-01-10 08:15:59,43.57596062,3.95757901,4,48.733,,0.000,,19,26,,
T,2021-01-10 08:16:00,43.57596369,3.95758088,4,49.038,,0.000,,20,28,,
T,2021-01-10 08:16:01,43.57596529,3.95758074,4,49.012,,0.000,,19,27,,
T,2021-01-10 08:16:02,43.57596674,3.95758508,4,48.766,,0.000,,18,26,,
T,2021-01-10 08:16:03,43.57596529,3.95756963,4,49.612,,2.030,201,19,26,,
T,2021-01-10 08:16:04,43.57596551,3.95753923,4,49.732,,2.900,267,21,29,,
T,2021-01-10 08:16:05,43.57597929,3.95752323,4,50.341,,3.160,346,19,27,,
T,2021-01-10 08:16:06,43.57599611,3.95752970,4,49.254,,1.740,39,21,29,,
T,2021-01-10 08:16:07,43.57599743,3.95753910,4,49.182,,0.000,,20,27,,
T,2021-01-10 08:16:08,43.57599433,3.95753955,4,48.002,,0.000,,21,27,,
T,2021-01-10 08:16:09,43.57599220,3.95754071,4,47.957,,0.000,,21,28,,
T,2021-01-10 08:16:10,43.57599176,3.95753831,4,48.238,,0.000,,21,29,,
T,2021-01-10 08:16:11,43.57599078,3.95753573,4,48.093,,0.000,,19,26,,
T,2021-01-10 08:16:12,43.57598758,3.95753595,4,47.023,,0.000,,18,26,,
T,2021-01-10 08:16:13,43.57598737,3.95753459,4,46.968,,0.000,,21,28,,
T,2021-01-10 08:16:14,43.57598814,3.95753611,4,47.167,,1.680,7,21,29,,
T,2021-01-10 08:16:15,43.57598864,3.95754000,4,45.956,,0.380,332,18,24,,
T,2021-01-10 08:16:16,43.57597591,3.95754388,4,46.464,,0.000,,18,25,,
T,2021-01-10 08:16:17,43.57596911,3.95754464,4,46.814,,0.000,,19,27,,
T,2021-01-10 08:16:18,43.57596718,3.95754491,4,46.850,,0.000,,19,26,,
T,2021-01-10 08:16:19,43.57596648,3.95754611,4,46.877,,0.000,,20,28,,
T,2021-01-10 08:16:20,43.57596726,3.95754712,4,47.291,,0.000,,20,27,,
T,2021-01-10 08:16:21,43.57596696,3.95754850,4,47.294,,0.000,,15,22,,
T,2021-01-10 08:16:22,43.57596488,3.95754579,4,47.671,,0.000,,21,29,,
T,2021-01-10 08:16:23,43.57596384,3.95754653,4,47.183,,0.000,,19,27,,
T,2021-01-10 08:16:24,43.57596450,3.95754820,4,46.610,,0.000,,22,29,,
T,2021-01-10 08:16:25,43.57596568,3.95754836,4,46.378,,0.000,,20,27,,
T,2021-01-10 08:16:26,43.57596620,3.95754666,4,46.122,,0.000,,20,28,,
T,2021-01-10 08:16:27,43.57596582,3.95755140,4,46.359,,0.750,332,20,28,,
T,2021-01-10 08:16:28,43.57596479,3.95756462,4,45.936,,1.480,86,21,27,,
T,2021-01-10 08:16:29,43.57596728,3.95757656,4,44.021,,0.550,332,22,28,,
T,2021-01-10 08:16:30,43.57596800,3.95758524,4,43.640,,0.860,94,21,28,,
T,2021-01-10 08:16:31,43.57597117,3.95759198,4,44.193,,0.000,,21,26,,
T,2021-01-10 08:16:32,43.57597108,3.95759276,4,43.841,,0.000,,20,23,,
T,2021-01-10 08:16:33,43.57596916,3.95759328,4,43.395,,0.000,,18,25,,
