type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-01-26 07:16:50,43.57599975,3.95714101,4,55.206,,2.030,57,22,27,20210126-081650,GPS Logger: 20210126-081650
T,2021-01-26 07:16:51,43.57601316,3.95716618,4,55.569,,2.330,41,22,27,,
T,2021-01-26 07:16:52,43.57601150,3.95718672,4,55.610,,1.770,85,22,27,,
T,2021-01-26 07:16:53,43.57601481,3.95719131,4,55.900,,0.850,89,22,27,,
T,2021-01-26 07:16:54,43.57600866,3.95720841,4,54.845,,1.380,112,22,27,,
T,2021-01-26 07:16:55,43.57601685,3.95721626,4,55.630,,0.740,64,22,27,,
T,2021-01-26 07:16:56,43.57601705,3.95721665,4,55.337,,0.350,64,22,27,,
T,2021-01-26 07:16:57,43.57601287,3.95721547,4,55.479,,0.000,,22,27,,
T,2021-01-26 07:16:58,43.57600939,3.95721683,4,55.723,,0.000,,22,27,,
T,2021-01-26 07:16:59,43.57600994,3.95721694,4,56.053,,0.000,,22,27,,
T,2021-01-26 07:17:00,43.57600905,3.95721682,4,56.108,,0.000,,22,27,,
T,2021-01-26 07:17:01,43.57600738,3.95722830,4,55.628,,0.270,64,21,27,,
T,2021-01-26 07:17:02,43.57600264,3.95723484,4,55.073,,0.260,64,21,27,,
T,2021-01-26 07:17:03,43.57599752,3.95723751,4,54.674,,0.000,,21,27,,
T,2021-01-26 07:17:04,43.57599500,3.95723755,4,54.445,,0.000,,21,27,,
T,2021-01-26 07:17:05,43.57599421,3.95723774,4,53.765,,0.000,,21,27,,
T,2021-01-26 07:17:06,43.57599437,3.95723830,4,53.603,,0.000,,20,27,,
T,2021-01-26 07:17:07,43.57599569,3.95723786,4,53.739,,0.000,,20,27,,
T,2021-01-26 07:17:08,43.57599621,3.95723467,4,53.555,,0.000,,20,27,,
T,2021-01-26 07:17:09,43.57599731,3.95723217,4,53.465,,0.000,,21,27,,
T,2021-01-26 07:17:10,43.57599854,3.95722922,4,53.010,,0.000,,21,27,,
T,2021-01-26 07:17:11,43.57599966,3.95722569,4,52.870,,0.000,,21,27,,
