type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-02-13 13:18:52,43.57589185,3.95739045,4,56.319,,0.000,,17,33,20210213-141852,GPS Logger: 20210213-141852
T,2021-02-13 13:18:53,43.57588456,3.95739243,4,55.392,,0.000,,19,33,,
T,2021-02-13 13:18:54,43.57588757,3.95738638,4,55.495,,0.000,,19,33,,
T,2021-02-13 13:18:55,43.57589593,3.95738480,4,55.712,,0.000,,19,33,,
T,2021-02-13 13:18:56,43.57589884,3.95738414,4,54.690,,0.000,,19,32,,
T,2021-02-13 13:18:57,43.57589857,3.95738672,4,54.506,,0.000,,19,32,,
T,2021-02-13 13:18:58,43.57589527,3.95738314,4,54.341,,0.000,,20,32,,
T,2021-02-13 13:18:59,43.57589926,3.95738546,4,53.961,,0.000,,20,32,,
T,2021-02-13 13:19:00,43.57589958,3.95738199,4,53.501,,0.000,,20,32,,
T,2021-02-13 13:19:01,43.57589935,3.95738208,4,53.870,,0.000,,19,32,,
T,2021-02-13 13:19:02,43.57589897,3.95738206,4,53.551,,0.000,,19,32,,
T,2021-02-13 13:19:03,43.57589943,3.95738301,4,53.849,,0.000,,18,32,,
T,2021-02-13 13:19:04,43.57590202,3.95738265,4,53.601,,0.000,,18,32,,
T,2021-02-13 13:19:05,43.57590309,3.95738097,4,53.240,,0.000,,19,32,,
T,2021-02-13 13:19:06,43.57590330,3.95738106,4,53.219,,0.000,,19,32,,
T,2021-02-13 13:19:07,43.57590287,3.95738018,4,53.191,,0.000,,20,32,,
T,2021-02-13 13:19:08,43.57590258,3.95737996,4,53.213,,0.000,,20,32,,
T,2021-02-13 13:19:09,43.57590221,3.95737962,4,53.204,,0.000,,20,32,,
T,2021-02-13 13:19:10,43.57590217,3.95737958,4,53.212,,0.000,,20,32,,
T,2021-02-13 13:19:11,43.57590220,3.95738000,4,53.274,,0.000,,19,32,,
T,2021-02-13 13:19:12,43.57590222,3.95738018,4,53.297,,0.000,,19,32,,
T,2021-02-13 13:19:13,43.57590261,3.95738053,4,53.282,,0.000,,18,32,,
T,2021-02-13 13:19:14,43.57590257,3.95738055,4,53.281,,0.000,,18,32,,
T,2021-02-13 13:19:15,43.57590255,3.95738059,4,53.279,,0.000,,18,32,,
T,2021-02-13 13:19:16,43.57590378,3.95738113,4,53.152,,0.000,,19,32,,
T,2021-02-13 13:19:17,43.57590376,3.95738117,4,53.156,,0.000,,20,32,,
T,2021-02-13 13:19:18,43.57590373,3.95738119,4,53.158,,0.000,,20,32,,
T,2021-02-13 13:19:19,43.57590373,3.95738117,4,53.160,,0.000,,20,32,,
T,2021-02-13 13:19:20,43.57590371,3.95738123,4,53.164,,0.000,,19,32,,
T,2021-02-13 13:19:21,43.57590416,3.95738157,4,53.152,,0.000,,19,32,,
T,2021-02-13 13:19:22,43.57590414,3.95738155,4,53.144,,0.000,,20,32,,
T,2021-02-13 13:19:23,43.57590411,3.95738151,4,53.143,,0.000,,18,32,,
T,2021-02-13 13:19:24,43.57590409,3.95738149,4,53.135,,0.000,,17,31,,
T,2021-02-13 13:19:25,43.57590412,3.95738147,4,53.131,,0.000,,17,31,,
T,2021-02-13 13:19:26,43.57590412,3.95738150,4,53.132,,0.000,,17,31,,
T,2021-02-13 13:19:27,43.57590467,3.95738186,4,53.092,,0.000,,17,31,,
T,2021-02-13 13:19:28,43.57590470,3.95738197,4,53.087,,0.000,,18,31,,
T,2021-02-13 13:19:29,43.57590487,3.95738208,4,53.067,,0.000,,19,31,,
T,2021-02-13 13:19:30,43.57590475,3.95738206,4,53.091,,0.000,,19,31,,
T,2021-02-13 13:19:31,43.57590471,3.95738206,4,53.089,,0.000,,20,31,,
T,2021-02-13 13:19:32,43.57590449,3.95738205,4,53.137,,0.000,,20,31,,
T,2021-02-13 13:19:33,43.57590469,3.95738210,4,53.123,,0.000,,20,31,,
T,2021-02-13 13:19:34,43.57590472,3.95738238,4,53.129,,0.000,,20,31,,
T,2021-02-13 13:19:35,43.57590471,3.95738240,4,53.130,,0.000,,20,31,,
T,2021-02-13 13:19:36,43.57590471,3.95738241,4,53.129,,0.000,,20,31,,
T,2021-02-13 13:19:37,43.57590466,3.95738243,4,53.140,,0.000,,20,31,,
T,2021-02-13 13:19:38,43.57590462,3.95738243,4,53.142,,0.000,,19,31,,
T,2021-02-13 13:19:39,43.57590463,3.95738247,4,53.149,,0.000,,19,31,,
T,2021-02-13 13:19:40,43.57590462,3.95738249,4,53.147,,0.000,,18,31,,
T,2021-02-13 13:19:41,43.57590460,3.95738252,4,53.150,,0.000,,17,31,,
T,2021-02-13 13:19:42,43.57590457,3.95738251,4,53.148,,0.000,,17,31,,
T,2021-02-13 13:19:43,43.57590456,3.95738251,4,53.155,,0.000,,19,31,,
T,2021-02-13 13:19:44,43.57590455,3.95738263,4,53.154,,0.000,,20,31,,
T,2021-02-13 13:19:45,43.57590453,3.95738264,4,53.154,,0.000,,19,31,,
T,2021-02-13 13:19:46,43.57590448,3.95738251,4,53.156,,0.000,,20,31,,
T,2021-02-13 13:19:47,43.57590447,3.95738258,4,53.170,,0.000,,20,31,,
T,2021-02-13 13:19:48,43.57590447,3.95738261,4,53.177,,0.000,,19,31,,
T,2021-02-13 13:19:49,43.57590446,3.95738267,4,53.178,,0.000,,19,31,,
T,2021-02-13 13:19:50,43.57590440,3.95738270,4,53.192,,0.000,,18,31,,
