type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-01-23 12:48:12,43.57566379,3.95671185,4,53.409,,1.700,237,27,39,20210123-134812,GPS Logger: 20210123-134812
T,2021-01-23 12:48:13,43.57566181,3.95669009,4,52.738,,1.710,238,27,39,,
T,2021-01-23 12:48:14,43.57565590,3.95667435,4,52.207,,1.430,240,27,39,,
T,2021-01-23 12:48:15,43.57564014,3.95665420,4,51.350,,2.470,212,27,39,,
T,2021-01-23 12:48:16,43.57564394,3.95663704,4,50.518,,1.690,290,27,39,,
T,2021-01-23 12:48:17,43.57565034,3.95660853,4,50.452,,2.440,294,27,39,,
T,2021-01-23 12:48:18,43.57564297,3.95660276,4,50.940,,0.980,240,27,39,,
T,2021-01-23 12:48:19,43.57563784,3.95658906,4,50.610,,1.010,240,28,39,,
T,2021-01-23 12:48:20,43.57563945,3.95657853,4,53.183,,0.960,240,28,39,,
T,2021-01-23 12:48:21,43.57564108,3.95658195,4,53.105,,0.210,240,25,39,,
T,2021-01-23 12:48:22,43.57564120,3.95658682,4,52.799,,0.380,240,24,39,,
T,2021-01-23 12:48:23,43.57564094,3.95659112,4,52.184,,0.230,240,23,39,,
T,2021-01-23 12:48:24,43.57564140,3.95660724,4,52.620,,0.000,,23,39,,
T,2021-01-23 12:48:25,43.57564150,3.95661697,4,52.616,,0.000,,23,39,,
T,2021-01-23 12:48:26,43.57564149,3.95662554,4,52.749,,0.000,,23,39,,
T,2021-01-23 12:48:27,43.57564079,3.95662994,4,52.652,,0.000,,26,39,,
T,2021-01-23 12:48:28,43.57564119,3.95663434,4,52.676,,0.000,,23,39,,
T,2021-01-23 12:48:29,43.57564064,3.95663774,4,52.684,,0.000,,24,39,,
T,2021-01-23 12:48:30,43.57564138,3.95664029,4,52.131,,0.000,,24,39,,
T,2021-01-23 12:48:31,43.57564111,3.95664206,4,52.130,,0.000,,22,39,,
T,2021-01-23 12:48:32,43.57564129,3.95664343,4,52.328,,0.000,,25,39,,
T,2021-01-23 12:48:33,43.57564104,3.95664293,4,52.291,,0.000,,22,39,,
T,2021-01-23 12:48:34,43.57564126,3.95664335,4,52.493,,0.000,,22,39,,
T,2021-01-23 12:48:35,43.57564152,3.95664426,4,52.690,,0.000,,20,39,,
T,2021-01-23 12:48:36,43.57564249,3.95664504,4,52.355,,0.000,,19,39,,
T,2021-01-23 12:48:37,43.57564315,3.95664599,5,52.509,,0.000,,19,39,,
T,2021-01-23 12:48:38,43.57564326,3.95664689,5,52.524,,0.000,,19,39,,
T,2021-01-23 12:48:39,43.57564338,3.95664730,5,52.535,,0.000,,20,39,,
T,2021-01-23 12:48:40,43.57564341,3.95664731,5,52.499,,0.000,,18,39,,
T,2021-01-23 12:48:41,43.57564346,3.95664730,5,52.483,,0.000,,19,39,,
T,2021-01-23 12:48:42,43.57564364,3.95664685,4,52.469,,0.000,,19,37,,
T,2021-01-23 12:48:43,43.57564397,3.95664669,4,52.532,,0.000,,17,39,,
T,2021-01-23 12:48:44,43.57564421,3.95664630,5,52.468,,0.000,,16,39,,
T,2021-01-23 12:48:45,43.57564433,3.95664645,5,52.468,,0.000,,14,38,,
T,2021-01-23 12:48:46,43.57564436,3.95664688,5,52.434,,0.000,,15,39,,
T,2021-01-23 12:48:47,43.57564442,3.95664713,5,52.438,,0.000,,16,39,,
T,2021-01-23 12:48:48,43.57564450,3.95664732,5,52.417,,0.000,,15,39,,
T,2021-01-23 12:48:49,43.57564439,3.95664888,5,52.416,,0.000,,16,39,,
