type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-02-08 13:06:39,43.57577456,3.95645970,4,61.813,,0.380,218,23,37,20210208-140639,GPS Logger: 20210208-140639
T,2021-02-08 13:06:40,43.57576871,3.95646070,5,61.300,,0.000,,24,37,,
T,2021-02-08 13:06:41,43.57575452,3.95646650,5,60.436,,0.510,187,24,37,,
T,2021-02-08 13:06:42,43.57574569,3.95643916,6,61.229,,2.000,221,24,37,,
T,2021-02-08 13:06:43,43.57574130,3.95643913,6,60.617,,0.000,,24,37,,
T,2021-02-08 13:06:44,43.57574128,3.95644318,6,60.531,,0.240,313,24,37,,
T,2021-02-08 13:06:45,43.57574159,3.95644137,7,60.557,,0.580,278,23,37,,
T,2021-02-08 13:06:46,43.57573369,3.95644471,7,59.864,,0.570,244,21,37,,
T,2021-02-08 13:06:47,43.57573050,3.95645124,6,59.383,,0.550,274,22,37,,
T,2021-02-08 13:06:48,43.57572940,3.95646729,5,59.013,,1.580,94,22,37,,
T,2021-02-08 13:06:49,43.57573221,3.95649995,6,59.408,,2.000,59,21,37,,
T,2021-02-08 13:06:50,43.57573573,3.95652718,6,59.667,,0.950,55,15,37,,
T,2021-02-08 13:06:51,43.57573115,3.95654605,6,59.431,,0.770,52,15,37,,
T,2021-02-08 13:06:52,43.57572584,3.95656155,6,58.342,,0.670,98,16,37,,
T,2021-02-08 13:06:53,43.57571381,3.95657048,5,57.115,,0.240,134,17,37,,
T,2021-02-08 13:06:54,43.57570344,3.95658050,4,57.809,,0.680,111,17,37,,
T,2021-02-08 13:06:55,43.57569513,3.95658917,4,56.962,,0.270,84,17,37,,
T,2021-02-08 13:06:56,43.57568778,3.95661124,4,56.088,,2.340,93,20,37,,
T,2021-02-08 13:06:57,43.57568082,3.95664081,4,55.988,,1.780,90,22,37,,
T,2021-02-08 13:06:58,43.57567665,3.95667063,4,56.441,,2.430,86,22,37,,
T,2021-02-08 13:06:59,43.57567698,3.95670865,5,56.358,,3.170,77,24,37,,
T,2021-02-08 13:07:00,43.57568790,3.95675460,6,56.295,,4.510,65,19,37,,
T,2021-02-08 13:07:01,43.57568942,3.95677978,6,56.250,,1.490,73,18,37,,
T,2021-02-08 13:07:02,43.57568370,3.95678659,5,56.422,,0.980,76,20,37,,
T,2021-02-08 13:07:03,43.57567599,3.95679550,5,56.262,,1.610,101,20,37,,
T,2021-02-08 13:07:04,43.57566922,3.95682487,5,56.041,,3.580,87,23,38,,
T,2021-02-08 13:07:05,43.57566417,3.95685827,5,56.122,,2.560,90,24,38,,
T,2021-02-08 13:07:06,43.57565818,3.95687862,5,56.949,,1.890,95,25,38,,
T,2021-02-08 13:07:07,43.57564868,3.95690003,5,57.010,,2.700,103,25,38,,
T,2021-02-08 13:07:08,43.57564177,3.95691139,4,57.123,,0.490,95,25,38,,
T,2021-02-08 13:07:09,43.57563982,3.95691965,4,56.046,,0.870,95,26,38,,
T,2021-02-08 13:07:10,43.57563791,3.95692444,4,56.454,,0.150,95,26,38,,
T,2021-02-08 13:07:11,43.57563391,3.95691728,4,55.643,,0.000,,26,38,,
T,2021-02-08 13:07:12,43.57563135,3.95691408,4,55.213,,0.000,,26,38,,
T,2021-02-08 13:07:13,43.57563122,3.95691382,4,55.778,,0.000,,26,38,,
T,2021-02-08 13:07:14,43.57563172,3.95691414,4,56.116,,0.000,,26,38,,
T,2021-02-08 13:07:15,43.57563310,3.95691274,4,56.505,,0.000,,26,38,,
T,2021-02-08 13:07:16,43.57563445,3.95691418,4,56.604,,0.000,,26,38,,
T,2021-02-08 13:07:17,43.57563548,3.95691417,4,56.718,,0.000,,26,38,,
T,2021-02-08 13:07:18,43.57563826,3.95691380,4,56.194,,0.000,,26,38,,
T,2021-02-08 13:07:19,43.57563999,3.95691428,4,56.239,,0.000,,26,38,,
T,2021-02-08 13:07:20,43.57564141,3.95691531,4,55.798,,0.000,,26,38,,
T,2021-02-08 13:07:21,43.57564112,3.95691613,4,55.985,,0.000,,26,38,,
T,2021-02-08 13:07:22,43.57564127,3.95691675,4,56.003,,0.000,,26,38,,
T,2021-02-08 13:07:23,43.57564107,3.95691700,4,56.284,,0.000,,26,38,,
T,2021-02-08 13:07:24,43.57564082,3.95691701,4,56.237,,0.000,,26,38,,
T,2021-02-08 13:07:25,43.57564071,3.95691702,4,56.188,,0.000,,26,38,,
T,2021-02-08 13:07:26,43.57564069,3.95691703,4,56.163,,0.000,,26,38,,
T,2021-02-08 13:07:27,43.57564068,3.95691703,4,56.146,,0.000,,26,38,,
T,2021-02-08 13:07:28,43.57564069,3.95691702,4,56.136,,0.000,,26,38,,
T,2021-02-08 13:07:29,43.57564069,3.95691702,4,56.129,,0.000,,25,38,,
T,2021-02-08 13:07:30,43.57564152,3.95691867,4,56.592,,0.000,,25,38,,
T,2021-02-08 13:07:31,43.57564416,3.95692115,4,56.309,,0.000,,25,38,,
T,2021-02-08 13:07:32,43.57564391,3.95692125,4,56.534,,0.000,,25,38,,
T,2021-02-08 13:07:33,43.57564222,3.95691909,4,56.786,,0.000,,25,38,,
T,2021-02-08 13:07:34,43.57564115,3.95691697,4,56.921,,0.000,,26,38,,
T,2021-02-08 13:07:35,43.57564125,3.95691517,4,57.298,,0.000,,26,38,,
T,2021-02-08 13:07:36,43.57564150,3.95691427,4,57.467,,0.000,,26,38,,
T,2021-02-08 13:07:37,43.57564142,3.95691614,4,57.484,,0.000,,26,38,,
T,2021-02-08 13:07:38,43.57564161,3.95691862,4,57.569,,0.000,,26,38,,
T,2021-02-08 13:07:39,43.57564114,3.95691976,4,57.562,,0.000,,26,38,,
T,2021-02-08 13:07:40,43.57564080,3.95691968,4,57.499,,0.000,,26,38,,
T,2021-02-08 13:07:41,43.57564172,3.95692039,4,57.404,,0.000,,26,38,,
T,2021-02-08 13:07:42,43.57564293,3.95692122,4,57.309,,0.000,,25,38,,
T,2021-02-08 13:07:43,43.57564420,3.95691882,4,57.371,,0.000,,25,38,,
T,2021-02-08 13:07:44,43.57564461,3.95691939,4,57.360,,0.000,,25,38,,
T,2021-02-08 13:07:45,43.57564434,3.95692041,4,57.599,,0.000,,24,38,,
T,2021-02-08 13:07:46,43.57564441,3.95692287,4,57.695,,0.000,,24,38,,
T,2021-02-08 13:07:47,43.57564481,3.95692536,4,57.804,,0.000,,25,38,,
T,2021-02-08 13:07:48,43.57564545,3.95692698,4,57.858,,0.000,,25,38,,
T,2021-02-08 13:07:49,43.57564475,3.95692558,4,57.826,,0.000,,25,38,,
T,2021-02-08 13:07:50,43.57564287,3.95692606,4,57.868,,0.000,,25,38,,
T,2021-02-08 13:07:51,43.57564231,3.95692548,4,57.587,,0.000,,25,38,,
T,2021-02-08 13:07:52,43.57564262,3.95692562,4,57.394,,0.000,,25,38,,
T,2021-02-08 13:07:53,43.57564237,3.95692581,4,57.121,,0.000,,24,38,,
T,2021-02-08 13:07:54,43.57564146,3.95692641,4,57.113,,0.000,,24,38,,
T,2021-02-08 13:07:55,43.57564096,3.95692580,4,56.889,,0.000,,24,38,,
T,2021-02-08 13:07:56,43.57564079,3.95692553,4,56.747,,0.000,,23,38,,
T,2021-02-08 13:07:57,43.57564113,3.95692508,4,56.717,,0.000,,23,38,,
T,2021-02-08 13:07:58,43.57564094,3.95692465,4,56.728,,0.000,,24,38,,
T,2021-02-08 13:07:59,43.57564091,3.95692442,4,56.709,,0.000,,24,38,,
T,2021-02-08 13:08:00,43.57564142,3.95692472,4,56.433,,0.000,,24,38,,
T,2021-02-08 13:08:01,43.57564416,3.95692524,4,56.802,,0.000,,26,38,,
T,2021-02-08 13:08:02,43.57564412,3.95692497,4,56.938,,0.000,,26,38,,
T,2021-02-08 13:08:03,43.57564342,3.95692490,4,56.960,,0.000,,26,38,,
T,2021-02-08 13:08:04,43.57564388,3.95692457,4,57.025,,0.000,,26,38,,
T,2021-02-08 13:08:05,43.57564502,3.95692554,4,57.031,,0.150,76,26,38,,
T,2021-02-08 13:08:06,43.57564832,3.95692671,4,57.142,,0.000,,26,38,,
T,2021-02-08 13:08:07,43.57564890,3.95692843,4,56.963,,0.000,,26,38,,
T,2021-02-08 13:08:08,43.57564777,3.95692762,4,57.020,,0.000,,26,38,,
T,2021-02-08 13:08:09,43.57564608,3.95692663,4,57.112,,0.000,,26,38,,
T,2021-02-08 13:08:10,43.57564349,3.95692675,4,57.057,,0.000,,26,38,,
T,2021-02-08 13:08:11,43.57564453,3.95692673,4,56.861,,0.000,,26,38,,
T,2021-02-08 13:08:12,43.57564669,3.95692645,4,57.023,,0.000,,26,38,,
T,2021-02-08 13:08:13,43.57564849,3.95692632,4,56.891,,0.000,,26,38,,
T,2021-02-08 13:08:14,43.57564982,3.95692651,4,56.768,,0.000,,26,38,,
T,2021-02-08 13:08:15,43.57565002,3.95692658,4,56.984,,0.000,,26,38,,
T,2021-02-08 13:08:16,43.57564963,3.95692721,4,56.922,,0.000,,26,38,,
T,2021-02-08 13:08:17,43.57564905,3.95692720,4,56.927,,0.000,,26,38,,
T,2021-02-08 13:08:18,43.57564879,3.95692711,4,56.925,,0.000,,26,38,,
T,2021-02-08 13:08:19,43.57564875,3.95692713,4,56.919,,0.000,,26,38,,
T,2021-02-08 13:08:20,43.57564870,3.95692714,4,56.928,,0.000,,26,38,,
T,2021-02-08 13:08:21,43.57564860,3.95692716,4,56.939,,0.000,,26,38,,
T,2021-02-08 13:08:22,43.57564992,3.95692601,4,57.012,,0.280,75,26,38,,
T,2021-02-08 13:08:23,43.57565080,3.95692194,4,57.217,,0.390,75,26,38,,
T,2021-02-08 13:08:24,43.57565103,3.95691852,4,57.162,,0.000,,26,38,,
T,2021-02-08 13:08:25,43.57565137,3.95691679,4,56.935,,0.000,,26,38,,
T,2021-02-08 13:08:26,43.57565209,3.95691512,4,56.766,,0.000,,26,38,,
T,2021-02-08 13:08:27,43.57565246,3.95691306,4,56.084,,0.000,,26,38,,
T,2021-02-08 13:08:28,43.57565256,3.95691165,4,55.738,,0.000,,26,38,,
T,2021-02-08 13:08:29,43.57565275,3.95691098,4,55.601,,0.000,,26,38,,
T,2021-02-08 13:08:30,43.57565545,3.95691084,4,55.742,,0.370,75,26,38,,
T,2021-02-08 13:08:31,43.57565852,3.95691196,4,55.764,,0.000,,26,38,,
T,2021-02-08 13:08:32,43.57565899,3.95691279,4,55.707,,0.000,,26,38,,
T,2021-02-08 13:08:33,43.57565959,3.95691302,4,55.783,,0.000,,26,38,,
T,2021-02-08 13:08:34,43.57566057,3.95691270,4,55.968,,0.000,,26,38,,
T,2021-02-08 13:08:35,43.57566010,3.95691328,4,56.154,,0.000,,25,38,,
T,2021-02-08 13:08:36,43.57566047,3.95691402,4,55.958,,0.000,,25,38,,
T,2021-02-08 13:08:37,43.57566066,3.95691439,4,55.931,,0.000,,25,38,,
T,2021-02-08 13:08:38,43.57565999,3.95691412,4,56.011,,0.000,,24,38,,
T,2021-02-08 13:08:39,43.57566107,3.95691380,4,55.851,,0.000,,24,38,,
T,2021-02-08 13:08:40,43.57566037,3.95691278,4,55.874,,0.000,,25,38,,
T,2021-02-08 13:08:41,43.57565919,3.95691342,4,55.902,,0.000,,25,38,,
T,2021-02-08 13:08:42,43.57565849,3.95691424,4,56.070,,0.000,,25,38,,
T,2021-02-08 13:08:43,43.57564276,3.95689846,4,56.172,,2.820,220,25,38,,
T,2021-02-08 13:08:44,43.57562710,3.95688338,4,56.785,,1.910,216,26,38,,
T,2021-02-08 13:08:45,43.57562092,3.95687980,4,57.071,,0.450,214,26,38,,
T,2021-02-08 13:08:46,43.57563512,3.95688108,4,55.993,,2.560,13,26,38,,
T,2021-02-08 13:08:47,43.57565848,3.95688835,4,56.767,,2.860,9,26,38,,
T,2021-02-08 13:08:48,43.57567549,3.95689404,4,56.578,,1.330,23,26,38,,
T,2021-02-08 13:08:49,43.57568656,3.95690101,4,56.294,,1.550,23,26,38,,
T,2021-02-08 13:08:50,43.57569919,3.95691426,4,56.356,,2.080,39,26,38,,
T,2021-02-08 13:08:51,43.57571090,3.95693137,4,56.430,,1.770,44,26,38,,
T,2021-02-08 13:08:52,43.57571414,3.95694167,4,56.790,,0.500,36,26,38,,
T,2021-02-08 13:08:53,43.57570412,3.95694713,4,56.720,,1.880,142,26,38,,
T,2021-02-08 13:08:54,43.57568612,3.95694103,4,57.137,,2.160,214,26,38,,
T,2021-02-08 13:08:55,43.57566967,3.95692484,4,56.962,,1.560,202,26,38,,
T,2021-02-08 13:08:56,43.57565837,3.95691760,4,57.027,,0.920,201,26,38,,
T,2021-02-08 13:08:57,43.57565292,3.95691499,4,57.503,,0.480,202,26,38,,
T,2021-02-08 13:08:58,43.57565415,3.95691326,4,57.748,,0.000,,26,38,,
T,2021-02-08 13:08:59,43.57565540,3.95691314,4,57.800,,0.000,,26,38,,
T,2021-02-08 13:09:00,43.57565606,3.95691571,4,57.179,,0.000,,26,38,,
T,2021-02-08 13:09:01,43.57565590,3.95691701,4,56.990,,0.000,,26,38,,
T,2021-02-08 13:09:02,43.57565879,3.95692104,4,56.605,,0.000,,26,38,,
T,2021-02-08 13:09:03,43.57566030,3.95692184,4,56.224,,0.000,,26,38,,
T,2021-02-08 13:09:04,43.57566111,3.95692277,4,56.154,,0.000,,26,38,,
T,2021-02-08 13:09:05,43.57566214,3.95692229,4,56.208,,0.000,,26,38,,
T,2021-02-08 13:09:06,43.57566216,3.95692265,4,56.131,,0.000,,25,38,,
T,2021-02-08 13:09:07,43.57566230,3.95692338,4,56.090,,0.000,,25,38,,
T,2021-02-08 13:09:08,43.57566389,3.95692311,4,55.972,,0.000,,25,38,,
T,2021-02-08 13:09:09,43.57566566,3.95692233,4,55.956,,0.000,,26,38,,
T,2021-02-08 13:09:10,43.57566694,3.95692170,4,56.034,,0.000,,26,38,,
T,2021-02-08 13:09:11,43.57566802,3.95692095,4,56.196,,0.000,,26,38,,
T,2021-02-08 13:09:12,43.57566878,3.95692134,4,56.122,,0.000,,26,38,,
T,2021-02-08 13:09:13,43.57566922,3.95692181,4,55.943,,0.000,,26,38,,
T,2021-02-08 13:09:14,43.57567213,3.95692485,4,55.667,,0.000,,26,38,,
T,2021-02-08 13:09:15,43.57567348,3.95692668,4,55.578,,0.000,,26,38,,
T,2021-02-08 13:09:16,43.57567183,3.95692651,4,55.884,,0.000,,26,38,,
T,2021-02-08 13:09:17,43.57566847,3.95692798,4,55.862,,0.190,205,26,38,,
T,2021-02-08 13:09:18,43.57566812,3.95692609,4,55.769,,0.000,,26,38,,
T,2021-02-08 13:09:19,43.57566703,3.95692524,4,55.727,,0.000,,26,38,,
