type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2020-12-31 12:04:22.118,41.91889555,8.79589318,32,37.342,,4.410,32,10,32,20201231-130422,GPS Logger: 20201231-130422
T,2020-12-31 12:04:23.118,41.91899707,8.79586706,34,50.041,,2.890,112,11,32,,
T,2020-12-31 12:04:24.118,41.91899683,8.79588059,30,47.792,,3.400,97,13,32,,
T,2020-12-31 12:04:25.118,41.91886703,8.79588370,27,36.186,,4.710,136,13,32,,
T,2020-12-31 12:04:26,41.91911449,8.79598028,26,45.512,,2.700,89,13,32,,
T,2020-12-31 12:04:28,41.91908554,8.79596938,14,40.558,,0.000,,11,32,,
T,2020-12-31 12:04:29,41.91911512,8.79597563,14,41.545,,0.000,,12,32,,
T,2020-12-31 12:04:30,41.91910200,8.79598872,13,42.643,,0.000,,13,32,,
T,2020-12-31 12:04:31,41.91914340,8.79600049,11,49.141,,0.000,,13,32,,
T,2020-12-31 12:04:32,41.91914632,8.79599742,11,49.859,,0.000,,14,32,,
T,2020-12-31 12:04:33,41.91913485,8.79600015,11,48.581,,0.000,,14,32,,
T,2020-12-31 12:04:34,41.91913444,8.79600136,10,48.360,,0.000,,15,32,,
T,2020-12-31 12:04:35,41.91925083,8.79601089,10,49.097,,4.700,7,14,32,,
T,2020-12-31 12:04:36,41.91925599,8.79603028,11,49.254,,4.260,12,13,32,,
T,2020-12-31 12:04:37,41.91932925,8.79612098,12,47.185,,5.280,26,15,32,,
T,2020-12-31 12:04:38,41.91938333,8.79622031,11,45.076,,6.060,33,12,32,,
T,2020-12-31 12:04:39,41.91944374,8.79627854,11,46.114,,6.100,30,12,32,,
T,2020-12-31 12:04:40,41.91958674,8.79635566,12,47.702,,8.670,20,13,32,,
T,2020-12-31 12:04:41,41.91955428,8.79636298,13,47.515,,4.850,31,15,32,,
T,2020-12-31 12:04:42,41.91960470,8.79635207,10,51.193,,4.370,26,16,32,,
T,2020-12-31 12:04:43,41.91965726,8.79639953,9,53.045,,4.000,20,18,32,,
T,2020-12-31 12:04:44,41.91970226,8.79644124,9,52.856,,4.020,20,18,32,,
T,2020-12-31 12:04:45,41.91972015,8.79645821,8,52.658,,4.950,22,17,32,,
