type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-01-03 11:17:33,43.57579921,3.95706584,4,56.539,,0.000,,26,37,20210103-121733,GPS Logger: 20210103-121733
T,2021-01-03 11:17:34,43.57579357,3.95707178,4,56.284,,0.240,141,26,37,,
T,2021-01-03 11:17:35,43.57579772,3.95707703,4,58.365,,0.180,163,19,23,,
T,2021-01-03 11:17:36,43.57579397,3.95708669,4,57.292,,0.000,,19,23,,
T,2021-01-03 11:17:37,43.57579687,3.95708598,4,57.455,,0.000,,19,23,,
T,2021-01-03 11:17:38,43.57580329,3.95708354,4,57.121,,0.000,,18,23,,
T,2021-01-03 11:17:39,43.57580597,3.95708726,4,57.670,,0.000,,18,23,,
T,2021-01-03 11:17:40,43.57580611,3.95708364,4,58.341,,0.000,,18,23,,
T,2021-01-03 11:17:41,43.57580729,3.95708779,4,57.928,,0.000,,19,23,,
T,2021-01-03 11:17:42,43.57580844,3.95708301,4,59.585,,0.000,,16,28,,
T,2021-01-03 11:17:43,43.57581497,3.95708734,4,61.133,,0.000,,20,29,,
T,2021-01-03 11:17:44,43.57581498,3.95708926,4,61.180,,0.000,,21,28,,
T,2021-01-03 11:17:45,43.57581410,3.95708857,4,61.307,,0.000,,16,24,,
T,2021-01-03 11:17:46,43.57581321,3.95708780,4,61.333,,0.000,,20,29,,
T,2021-01-03 11:17:47,43.57581325,3.95708777,4,61.357,,0.000,,17,26,,
T,2021-01-03 11:17:48,43.57581309,3.95708819,4,61.343,,0.000,,20,29,,
T,2021-01-03 11:17:49,43.57581424,3.95708970,4,61.314,,0.000,,20,29,,
T,2021-01-03 11:17:50,43.57581431,3.95708983,4,61.322,,0.000,,20,29,,
T,2021-01-03 11:17:51,43.57581408,3.95708954,4,61.342,,0.000,,18,27,,
T,2021-01-03 11:17:52,43.57581409,3.95708956,4,61.341,,0.000,,20,29,,
T,2021-01-03 11:17:53,43.57581413,3.95708945,4,61.349,,0.000,,20,29,,
T,2021-01-03 11:17:54,43.57581415,3.95708934,4,61.323,,0.000,,19,28,,
T,2021-01-03 11:17:55,43.57581415,3.95708926,4,61.315,,0.000,,20,29,,
T,2021-01-03 11:17:56,43.57581415,3.95708932,4,61.323,,0.000,,20,28,,
T,2021-01-03 11:17:57,43.57581410,3.95708933,4,61.325,,0.000,,20,29,,
T,2021-01-03 11:17:58,43.57581405,3.95708941,4,61.310,,0.000,,18,27,,
T,2021-01-03 11:17:59,43.57581402,3.95708945,4,61.315,,0.000,,19,28,,
T,2021-01-03 11:18:00,43.57581398,3.95708947,4,61.315,,0.000,,19,28,,
T,2021-01-03 11:18:01,43.57581395,3.95708945,4,61.308,,0.000,,19,28,,
T,2021-01-03 11:18:02,43.57581396,3.95708946,4,61.316,,0.000,,18,27,,
T,2021-01-03 11:18:03,43.57581397,3.95708944,4,61.323,,0.000,,19,29,,
T,2021-01-03 11:18:04,43.57581398,3.95708946,4,61.315,,0.000,,17,27,,
T,2021-01-03 11:18:05,43.57581399,3.95708946,4,61.315,,0.000,,19,29,,
T,2021-01-03 11:18:06,43.57581397,3.95708945,4,61.316,,0.000,,17,27,,
T,2021-01-03 11:18:07,43.57581395,3.95708940,4,61.321,,0.000,,17,27,,
T,2021-01-03 11:18:08,43.57581399,3.95708940,4,61.322,,0.000,,19,28,,
T,2021-01-03 11:18:09,43.57581399,3.95708940,4,61.321,,0.000,,18,27,,
T,2021-01-03 11:18:10,43.57581396,3.95708936,4,61.320,,0.000,,19,28,,
T,2021-01-03 11:18:11,43.57581396,3.95708935,4,61.320,,0.000,,19,28,,
T,2021-01-03 11:18:12,43.57581397,3.95708935,4,61.320,,0.000,,18,27,,
T,2021-01-03 11:18:13,43.57581398,3.95708934,4,61.312,,0.000,,18,27,,
T,2021-01-03 11:18:14,43.57581398,3.95708933,4,61.312,,0.000,,19,28,,
T,2021-01-03 11:18:15,43.57581399,3.95708933,4,61.309,,0.000,,20,29,,
T,2021-01-03 11:18:16,43.57581402,3.95708931,4,61.305,,0.000,,17,26,,
T,2021-01-03 11:18:17,43.57581401,3.95708932,4,61.300,,0.000,,18,26,,
T,2021-01-03 11:18:18,43.57581406,3.95708932,4,61.289,,0.000,,20,29,,
T,2021-01-03 11:18:19,43.57581402,3.95708929,4,61.285,,0.000,,17,25,,
T,2021-01-03 11:18:20,43.57581401,3.95708930,4,61.285,,0.000,,17,26,,
T,2021-01-03 11:18:21,43.57581400,3.95708929,4,61.284,,0.000,,19,27,,
T,2021-01-03 11:18:22,43.57581401,3.95708926,4,61.278,,0.000,,17,24,,
T,2021-01-03 11:18:23,43.57581397,3.95708923,4,61.269,,0.000,,21,28,,
T,2021-01-03 11:18:24,43.57581392,3.95708921,4,61.264,,0.000,,18,25,,
T,2021-01-03 11:18:25,43.57581391,3.95708919,4,61.261,,0.000,,21,28,,
T,2021-01-03 11:18:26,43.57581391,3.95708923,4,61.253,,0.000,,22,29,,
T,2021-01-03 11:18:27,43.57581390,3.95708924,4,61.251,,0.000,,20,28,,
T,2021-01-03 11:18:28,43.57581391,3.95708926,4,61.250,,0.000,,17,26,,
T,2021-01-03 11:18:29,43.57581393,3.95708926,4,61.249,,0.000,,19,29,,
T,2021-01-03 11:18:30,43.57581390,3.95708926,4,61.244,,0.000,,17,29,,
T,2021-01-03 11:18:31,43.57581388,3.95708928,4,61.238,,0.000,,17,27,,
T,2021-01-03 11:18:32,43.57581389,3.95708926,4,61.241,,0.000,,18,29,,
T,2021-01-03 11:18:33,43.57581389,3.95708925,4,61.239,,0.000,,17,27,,
T,2021-01-03 11:18:34,43.57581388,3.95708924,4,61.238,,0.000,,16,27,,
T,2021-01-03 11:18:35,43.57581388,3.95708924,4,61.236,,0.000,,16,27,,
T,2021-01-03 11:18:36,43.57581387,3.95708923,4,61.235,,0.000,,18,29,,
T,2021-01-03 11:18:37,43.57581387,3.95708921,4,61.237,,0.000,,16,29,,
T,2021-01-03 11:18:38,43.57581387,3.95708921,4,61.235,,0.000,,15,28,,
T,2021-01-03 11:18:39,43.57581382,3.95708922,4,61.234,,0.000,,14,27,,
