type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-01-07 15:21:21,43.57587527,3.95715382,4,56.264,,1.830,69,22,30,20210107-162121,GPS Logger: 20210107-162121
T,2021-01-07 15:21:22,43.57588091,3.95717653,4,55.898,,1.940,70,22,30,,
T,2021-01-07 15:21:23,43.57588171,3.95720227,4,56.129,,1.920,84,21,32,,
T,2021-01-07 15:21:24,43.57588665,3.95722480,4,56.428,,1.820,61,23,31,,
T,2021-01-07 15:21:25,43.57589683,3.95724349,4,57.493,,1.890,79,19,29,,
T,2021-01-07 15:21:26,43.57588561,3.95726560,4,56.155,,1.740,71,24,26,,
T,2021-01-07 15:21:27,43.57589398,3.95729305,4,55.846,,2.390,66,24,31,,
T,2021-01-07 15:21:28,43.57590684,3.95731932,4,54.985,,1.810,49,26,32,,
T,2021-01-07 15:21:29,43.57590773,3.95734583,4,54.593,,0.950,85,24,29,,
T,2021-01-07 15:21:30,43.57590838,3.95735581,4,52.900,,1.190,65,25,30,,
T,2021-01-07 15:21:31,43.57591721,3.95738133,4,51.665,,3.090,59,28,34,,
T,2021-01-07 15:21:32,43.57592875,3.95741042,4,51.545,,2.650,60,23,29,,
T,2021-01-07 15:21:33,43.57593905,3.95743402,4,50.378,,1.810,55,28,31,,
T,2021-01-07 15:21:34,43.57594477,3.95744536,4,50.596,,0.870,48,22,27,,
T,2021-01-07 15:21:35,43.57594623,3.95744758,4,51.251,,0.000,,23,28,,
T,2021-01-07 15:21:36,43.57594594,3.95744772,4,51.601,,0.000,,27,32,,
T,2021-01-07 15:21:37,43.57594683,3.95744474,4,50.883,,0.000,,23,29,,
T,2021-01-07 15:21:38,43.57594716,3.95744383,4,51.075,,0.000,,26,32,,
T,2021-01-07 15:21:39,43.57594486,3.95744576,4,51.421,,0.000,,26,33,,
T,2021-01-07 15:21:40,43.57594413,3.95744809,4,52.135,,0.000,,24,34,,
T,2021-01-07 15:21:41,43.57594477,3.95745143,4,52.852,,0.000,,20,33,,
T,2021-01-07 15:21:42,43.57594886,3.95745457,4,53.296,,0.000,,21,34,,
T,2021-01-07 15:21:43,43.57595053,3.95745637,4,53.182,,0.000,,18,33,,
T,2021-01-07 15:21:44,43.57595239,3.95745728,4,53.400,,0.000,,16,33,,
T,2021-01-07 15:21:45,43.57595416,3.95745729,4,53.353,,0.000,,16,33,,
