type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2020-12-06 10:11:52,43.60987759,3.89207558,8,68.699,,0.000,,21,38,20201206-111152,GPS Logger: 20201206-111152
T,2020-12-06 10:11:53,43.60984649,3.89207051,7,66.055,,0.000,,23,38,,
T,2020-12-06 10:11:54,43.60987063,3.89207875,6,67.676,,0.000,,23,38,,
T,2020-12-06 10:11:55,43.60988662,3.89207656,7,69.859,,0.610,18,23,38,,
T,2020-12-06 10:11:56,43.60993207,3.89207095,7,73.090,,1.460,351,24,38,,
T,2020-12-06 10:11:57,43.60993228,3.89206362,7,74.235,,0.650,4,24,38,,
T,2020-12-06 10:11:58,43.61002291,3.89210183,6,73.944,,0.000,,24,38,,
T,2020-12-06 10:11:59,43.61004068,3.89210518,6,74.776,,0.000,,22,38,,
T,2020-12-06 10:12:00,43.61004433,3.89210524,5,74.736,,0.000,,24,38,,
T,2020-12-06 10:12:01,43.61004377,3.89211130,5,74.896,,0.000,,23,38,,
T,2020-12-06 10:12:02,43.61005656,3.89211928,5,74.873,,0.000,,22,38,,
T,2020-12-06 10:12:03,43.61007003,3.89211838,5,75.234,,1.650,357,23,38,,
T,2020-12-06 10:12:04,43.61007744,3.89211961,5,74.895,,0.000,,23,38,,
T,2020-12-06 10:12:05,43.61007349,3.89212475,5,74.987,,0.000,,23,38,,
T,2020-12-06 10:12:06,43.61007161,3.89213186,5,74.837,,0.350,85,23,38,,
T,2020-12-06 10:12:07,43.61006489,3.89213586,5,74.793,,0.000,,21,38,,
T,2020-12-06 10:12:08,43.61006036,3.89213510,5,74.307,,0.000,,22,38,,
T,2020-12-06 10:12:09,43.61005512,3.89213142,5,73.580,,0.000,,22,38,,
T,2020-12-06 10:12:10,43.61005046,3.89212880,5,73.208,,0.000,,22,38,,
T,2020-12-06 10:12:11,43.61004849,3.89212372,5,72.886,,0.000,,22,38,,
T,2020-12-06 10:12:12,43.61004571,3.89212189,5,72.492,,0.000,,24,38,,
T,2020-12-06 10:12:13,43.61005401,3.89212010,5,72.804,,0.000,,23,38,,
T,2020-12-06 10:12:14,43.61004954,3.89211708,5,72.042,,0.000,,23,38,,
